danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.435,0.748,C#,-7.412,minor,0.0839,0.0214,0.0123,0.265,0.548,160.915,1K5E4XSQORK2DfeXp0liK9,241281,4,C# minor
0.456,0.477,E,-10.718,major,0.0396,0.0794,0.416,0.109,0.337,106.981,4xY2NrwIyXByT8x0EIgh1Y,334745,4,E major
0.66,0.704,G,-6.254,major,0.373,0.856,4.46e-5,0.129,0.504,92.39,3oU1zcfMeDUGKU3fI3ENpK,148530,4,G major
0.624,0.771,D,-5.88,major,0.0946,0.495,0,0.2,0.436,94.953,0YCzM8xRb7AASZSfHnHtSc,194480,4,D major
0.557,0.607,C,-10.088,major,0.0578,0.00266,0.771,0.33,0.235,73.061,1HfxvQqTm3T3FfMH5otcMg,186397,4,C major
0.569,0.5,C#,-9.266,major,0.024,0.133,0.0465,0.0914,0.295,89.951,4yPST7G2hLaKRAQmrrCvMr,240840,5,C# major
0.561,0.707,E,-7.038,major,0.0397,0.0719,0,0.0782,0.559,122.816,3MVL733KX2m9G76qPnTttk,261122,4,E major
0.537,0.859,E,-5.487,minor,0.039,0.0694,0.77,0.13,0.21,157.98,2hlqCFahLVgdBIbY3yTrAb,264734,4,E minor
0.639,0.907,A,-7.85,major,0.0409,0.0128,0.328,0.704,0.696,97.019,5zyySSTcBpXQ8gSbuONRH7,234333,4,A major
0.57,0.77,B,-7.859,minor,0.0274,4.91e-5,0.833,0.12,0.478,141.014,1sNurSzezRs4DT8icqzQXl,236470,4,B minor
0.411,0.272,B,-15.062,major,0.0417,0.85,0.575,0.0727,0.118,87.853,7yk5D0dL772D2gWePica6W,228499,4,B major
0.642,0.551,B,-8.411,minor,0.13,0.26,0.147,0.115,0.145,113.079,2RuOeqFMhuYLVGbgGPQx2l,234228,4,B minor
0.687,0.617,E,-5.213,major,0.0287,0.0941,1.32e-5,0.0898,0.665,121.08,4sNG6zQBmtq7M8aeeKJRMQ,252307,4,E major
0.646,0.703,C,-9.156,major,0.049,0.258,0.00552,0.364,0.344,161.092,04WIwudlhPrExXuOAx9n3d,241227,4,C major
0.478,0.955,B,-5.342,minor,0.0542,4.45e-4,0.892,0.0541,0.546,154.896,5Jl1QnoXsEsRJOOoXHApab,188050,4,B minor
0.512,0.539,C#,-6.78,major,0.0276,0.46,0.121,0.0988,0.141,136.011,4IZgTEyVR8LI5crzemv22l,245520,4,C# major
0.624,0.52,E,-4.4,major,0.0362,0.00197,5.22e-6,0.126,0.498,73.003,2Xw1FwiZDOpXLXtGDqDif1,238787,4,E major
0.586,0.584,A,-9.235,major,0.0253,0.00894,0.848,0.11,0.728,150.059,0k3oiDzRA2ULlbBQKWImKD,234560,4,A major
0.465,0.487,B,-8.743,major,0.0399,0.0483,0.344,0.0951,0.203,97.847,4OxtqhSBnOsgGc1yfYAfOn,241546,4,B major
0.496,0.711,C#,-6.068,major,0.0395,0.238,0,0.153,0.278,134.993,2epl95PhpQWQqxngmhYw6u,232680,4,C# major
0.423,0.551,G#,-7.91,major,0.326,0.938,0,0.284,0.37,92.83,0cXqOcX9uxL0KU9YXvfDFZ,287413,4,G# major
0.794,0.687,G,-5.028,minor,0.0746,0.0395,0.4,0.115,0.787,100.253,3s25iX3minD5jORW4KpANZ,255984,4,G minor
