year,race,networth,pctle,diff,nw07
2010,White,357684.387659707,70,-64064.68187996,421749.069539667
2013,White,348925.813953488,70,-72823.25558617897,421749.069539667
2016,White,400100,70,-21649.06953966699,421749.069539667
2007,White,437984.440091414,71,0,437984.440091414
2010,White,375369.647865379,71,-62614.79222603503,437984.440091414
2013,White,370166.569767442,71,-67817.87032397202,437984.440091414
2016,White,414598.6,71,-23385.84009141405,437984.440091414
2007,White,455099.902056807,72,0,455099.902056807
2010,White,396205.095045185,72,-58894.807011622004,455099.902056807
2013,White,390066.889534884,72,-65033.012521922996,455099.902056807
2016,White,436400,72,-18699.902056807012,455099.902056807
2007,White,473998.707149853,73,0,473998.707149853
2010,White,418919.601121845,73,-55079.106028007984,473998.707149853
2013,White,407286.337209302,73,-66712.369940551,473998.707149853
2016,White,460250,73,-13748.707149852999,473998.707149853
2007,White,501073.09826967,74,0,501073.09826967
2010,White,440915.643502649,74,-60157.454767021,501073.09826967
2013,White,424536.718023256,74,-76536.38024641399,501073.09826967
2016,White,486e3,74,-15073.09826966998,501073.09826967
2007,White,522959.582109043,75,0,522959.582109043
2010,White,462248.48862574,75,-60711.09348330303,522959.582109043
2013,White,448221.191860465,75,-74738.39024857804,522959.582109043
2016,White,517780,75,-5179.582109043025,522959.582109043
2007,White,561637.283708782,76,0,561637.283708782
2010,White,480165.86787161103,76,-81471.41583717102,561637.283708782
2013,White,468430.843023256,76,-93206.44068552606,561637.283708782
2016,White,549600,76,-12037.283708782052,561637.283708782
2007,White,591456.170421156,77,0,591456.170421156
2010,White,503532.517918355,77,-87923.65250280098,591456.170421156
2013,White,495662.316860465,77,-95793.853560691,591456.170421156
2016,White,586765,77,-4691.1704211559845,591456.170421156
2007,White,619190.630101208,78,0,619190.630101208
2010,White,534205.391087566,78,-84985.23901364196,619190.630101208
2013,White,531225.11627907,78,-87965.51382213796,619190.630101208
2016,White,616590,78,-2600.630101207993,619190.630101208
2007,White,654394.286647078,79,0,654394.286647078
2010,White,569907.510127766,79,-84486.77651931194,654394.286647078
2013,White,579377.703488372,79,-75016.58315870597,654394.286647078
2016,White,658500,79,4105.713352922001,654394.286647078
2007,White,684618.478615736,80,0,684618.478615736
2010,White,604062.168899969,80,-80556.30971576704,684618.478615736
2013,White,612991.715116279,80,-71626.76349945704,684618.478615736
2016,White,698700,80,14081.521384263993,684618.478615736
2007,White,718085.1126346721,81,0,718085.1126346721
2010,White,641422.28108445,81,-76662.83155022212,718085.1126346721
2013,White,647946.162790698,81,-70138.94984397409,718085.1126346721
2016,White,753e3,81,34914.887365327915,718085.1126346721
2007,White,756531.211230819,82,0,756531.211230819
2010,White,680993.05079464,82,-75538.16043617902,756531.211230819
2013,White,683828.604651163,82,-72702.60657965601,756531.211230819
2016,White,811200,82,54668.788769181,756531.211230819
2007,White,784091.968658178,83,0,784091.968658178
2010,White,726200.997195388,83,-57890.97146279004,784091.968658178
2013,White,722391.918604651,83,-61700.050053527,784091.968658178
2016,White,866300,83,82208.031341822,784091.968658178
2007,White,823001.273261508,84,0,823001.273261508
2010,White,775730.779058897,84,-47270.49420261092,823001.273261508
2013,White,772916.046511628,84,-50085.22674988001,823001.273261508
2016,White,941040,84,118038.72673849203,823001.273261508
2007,White,872216.911524649,85,0,872216.911524649
2010,White,855524.462449361,85,-16692.449075288023,872216.911524649
2013,White,825811.715116279,85,-46405.196408370044,872216.911524649
2016,White,1015e3,85,142783.088475351,872216.911524649
2007,White,929886.0594188701,86,0,929886.0594188701
2010,White,937307.737612964,86,7421.678194093867,929886.0594188701
2013,White,881078.924418605,86,-48807.13500026509,929886.0594188701
2016,White,1099500,86,169613.94058112986,929886.0594188701
2007,White,975453.950375449,87,0,975453.950375449
2010,White,1026629.35493923,87,51175.40456378099,975453.950375449
2013,White,971506.802325581,87,-3947.148049868061,975453.950375449
2016,White,1187570,87,212116.04962455097,975453.950375449
2007,White,1059583.74142997,88,0,1059583.74142997
2010,White,1118603.76129635,88,59020.01986638014,1059583.74142997
2013,White,1043684.12790698,88,-15899.613522989908,1059583.74142997
2016,White,1286800,88,227216.2585700301,1059583.74142997
2007,White,1156914.90368919,89,0,1156914.90368919
2010,White,1232883.70208788,89,75968.79839869007,1156914.90368919
2013,White,1133802.6744186,89,-23112.229270590004,1156914.90368919
2016,White,1397100,89,240185.09631080995,1156914.90368919
2007,White,1253921.82174339,90,0,1253921.82174339
2010,White,1365302.08787784,90,111380.26613444998,1253921.82174339
2013,White,1233201.1627907,90,-20720.658952689962,1253921.82174339
2016,White,1540700,90,286778.17825660994,1253921.82174339
2007,White,1341560.39830232,91,0,1341560.39830232
2010,White,1527343.28451231,91,185782.88620999013,1341560.39830232
2013,White,1379514.9127907,91,37954.51448838017,1341560.39830232
2016,White,1728e3,91,386439.6016976801,1341560.39830232
2007,White,1563436.07574274,92,0,1563436.07574274
2010,White,1728955.25085696,92,165519.17511422,1563436.07574274
2013,White,1552843.60465116,92,-10592.471091579879,1563436.07574274
2016,White,1986400,92,422963.92425726005,1563436.07574274
2007,White,1875196.87887692,93,0,1875196.87887692
2010,White,1939863.0320972297,93,64666.15322030964,1875196.87887692
2013,White,1788760.34883721,93,-86436.53003970999,1875196.87887692
2016,White,2288e3,93,412803.1211230799,1875196.87887692
2007,White,2292638.13254979,94,0,2292638.13254979
2010,White,2181808.44499844,94,-110829.68755135033,2292638.13254979
2013,White,2078191.4244186,94,-214446.70813119016,2292638.13254979
2016,White,2549500,94,256861.8674502098,2292638.13254979
2007,White,2765687.26738492,95,0,2765687.26738492
2010,White,2547757.430748925,95,-217929.83663599472,2765687.26738492
2013,White,2520329.09883721,95,-245358.16854770994,2765687.26738492
2016,White,2939e3,95,173312.7326150802,2765687.26738492
2007,White,3525229.31766242,96,0,3525229.31766242
2010,White,3067928.40760361,96,-457300.9100588104,3525229.31766242
2013,White,3173224.56395349,96,-352004.7537089302,3525229.31766242
2016,White,3657400,96,132170.68233757978,3525229.31766242
2007,White,4639008.16193275,97,0,4639008.16193275
2010,White,4179844.9298847,97,-459163.23204804957,4639008.16193275
2013,White,4133698.54651163,97,-505309.6154211196,4639008.16193275
2016,White,5047405,97,408396.8380672503,4639008.16193275
2007,White,6847111.19817173,98,0,6847111.19817173
2010,White,5648561.57681521,98,-1198549.6213565199,6847111.19817173
2013,White,5994646.53197674,98,-852464.6661949903,6847111.19817173
2016,White,7696400,98,849288.8018282698,6847111.19817173
2007,White,10801964.0874959,99,0,10801964.0874959
2010,White,9308968.30788408,99,-1492995.7796118204,10801964.0874959
2013,White,9725172.84883721,99,-1076791.2386586908,10801964.0874959
2016,White,12206400,99,1404435.9125040993,10801964.0874959
2007,White,1634511768.8685715,100,0,1634511768.8685715
2010,White,1209214191.96011,100,-425297576.9084616,1634511768.8685715
2013,White,1365613147.44186,100,-268898621.42671156,1634511768.8685715
2016,White,17038e5,100,69288231.13142848,1634511768.8685715
2007,Black,-38422.9382957884,1,0,-38422.9382957884
2010,Black,-126205.332813961,1,-87782.3945181726,-38422.9382957884
2013,Black,-81024.2034883721,1,-42601.265192583705,-38422.9382957884
2016,Black,-91650,1,-53227.0617042116,-38422.9382957884
2007,Black,-29181.9784524976,2,0,-29181.9784524976
2010,Black,-65534.9423496416,2,-36352.963897144,-29181.9784524976
2013,Black,-65062.70348837209,2,-35880.72503587449,-29181.9784524976
2016,Black,-67700,2,-38518.0215475024,-29181.9784524976
2007,Black,-21654.8808357819,3,0,-21654.8808357819
2010,Black,-51950.4518541602,3,-30295.5710183783,-21654.8808357819
2013,Black,-54339.2151162791,3,-32684.334280497198,-21654.8808357819
2016,Black,-49825,3,-28170.1191642181,-21654.8808357819
2007,Black,-17486.0267711394,4,0,-17486.0267711394
2010,Black,-36575.3287628545,4,-19089.3019917151,-17486.0267711394
2013,Black,-46471.886627907,4,-28985.859856767598,-17486.0267711394
2016,Black,-36910,4,-19423.9732288606,-17486.0267711394
2007,Black,-11580.1501795625,5,0,-11580.1501795625
2010,Black,-27301.6204425055,5,-15721.470262943,-11580.1501795625
2013,Black,-38871.614244186,5,-27291.4640646235,-11580.1501795625
2016,Black,-30300,5,-18719.8498204375,-11580.1501795625
2007,Black,-10306.3336598106,6,0,-10306.3336598106
2010,Black,-20669.6478653786,6,-10363.314205568,-10306.3336598106
2013,Black,-31139.360465116297,6,-20833.026805305697,-10306.3336598106
2016,Black,-25850,6,-15543.6663401894,-10306.3336598106
2007,Black,-8106.10512569376,7,0,-8106.10512569376
2010,Black,-14423.435026488,7,-6317.32990079424,-8106.10512569376
2013,Black,-26148.8139534884,7,-18042.70882779464,-8106.10512569376
2016,Black,-21840,7,-13733.89487430624,-8106.10512569376
2007,Black,-6322.76199804114,8,0,-6322.76199804114
2010,Black,-10655.3692739171,8,-4332.60727587596,-6322.76199804114
2013,Black,-22663.6802325581,8,-16340.918234516961,-6322.76199804114
2016,Black,-17620,8,-11297.23800195886,-6322.76199804114
2007,Black,-4400.45706823376,9,0,-4400.45706823376
2010,Black,-7626.76846369586,9,-3226.3113954621003,-4400.45706823376
2013,Black,-19869.386627907,9,-15468.929559673239,-4400.45706823376
2016,Black,-13690,9,-9289.54293176624,-4400.45706823376
2007,Black,-2812.81847861574,10,0,-2812.81847861574
2010,Black,-5725.60299158616,10,-2912.78451297042,-2812.81847861574
2013,Black,-17528.7790697674,10,-14715.96059115166,-2812.81847861574
2016,Black,-11960,10,-9147.18152138426,-2812.81847861574
2007,Black,-2316.0300359125,11,0,-2316.0300359125
2010,Black,-4819.2334060455,11,-2503.2033701329997,-2316.0300359125
2013,Black,-14228.2130813953,11,-11912.183045482801,-2316.0300359125
2016,Black,-10270,11,-7953.969964087501,-2316.0300359125
2007,Black,-1909.56676460986,12,0,-1909.56676460986
2010,Black,-3315.98628856342,12,-1406.4195239535602,-1909.56676460986
2013,Black,-11754.5930232558,12,-9845.02625864594,-1909.56676460986
2016,Black,-7998,12,-6088.43323539014,-1909.56676460986
2007,Black,-1378.03787136794,13,0,-1378.03787136794
2010,Black,-2884.90807105017,13,-1506.87019968223,-1378.03787136794
2013,Black,-9630.51744186047,13,-8252.47957049253,-1378.03787136794
2016,Black,-6e3,13,-4621.96212863206,-1378.03787136794
2007,Black,-613.747959516814,14,0,-613.747959516814
2010,Black,-1657.99314428171,14,-1044.245184764896,-613.747959516814
2013,Black,-8021.99418604651,14,-7408.246226529695,-613.747959516814
2016,Black,-4900,14,-4286.252040483186,-613.747959516814
2007,Black,0,15,0,0
2010,Black,-773.73013399813,15,-773.73013399813,0
2013,Black,-6495.95930232558,15,-6495.95930232558,0
2016,Black,-3670,15,-3670,0
2007,Black,0,16,0,0
2010,Black,-121.586163913992,16,-121.586163913992,0
2013,Black,-4928.68023255814,16,-4928.68023255814,0
2016,Black,-1850,16,-1850,0
2007,Black,0,17,0,0
2010,Black,0,17,0,0
2013,Black,-4083.17441860465,17,-4083.17441860465,0
2016,Black,-950,17,-950,0
2007,Black,0,18,0,0
2010,Black,0,18,0,0
2013,Black,-2990.20348837209,18,-2990.20348837209,0
2016,Black,-220,18,-220,0
2007,Black,0,19,0,0
2010,Black,0,19,0,0
2013,Black,-2495.27325581395,19,-2495.27325581395,0
2016,Black,0,19,0,0
2007,Black,0,20,0,0
2010,Black,0,20,0,0
2013,Black,-1633.26976744186,20,-1633.26976744186,0
2016,Black,20,20,20,0
2007,Black,1.15801501795625,21,0,1.15801501795625
2010,Black,0,21,-1.15801501795625,1.15801501795625
2013,Black,-721.773255813953,21,-722.9312708319093,1.15801501795625
2016,Black,120,21,118.84198498204375,1.15801501795625
2007,Black,92.6412014365002,22,0,92.6412014365002
2010,Black,0,22,-92.6412014365002,92.6412014365002
2013,Black,-205.189825581395,22,-297.8310270178952,92.6412014365002
2016,Black,222,22,129.35879856349982,92.6412014365002
2007,Black,244.341168788769,23,0,244.341168788769
2010,Black,1.10532876285447,23,-243.23584002591454,244.341168788769
2013,Black,0,23,-244.341168788769,244.341168788769
2016,Black,320,23,75.65883121123099,244.341168788769
2007,Black,729.549461312439,24,0,729.549461312439
2010,Black,33.1598628856342,24,-696.3895984268048,729.549461312439
2013,Black,0,24,-729.549461312439,729.549461312439
2016,Black,460,24,-269.549461312439,729.549461312439
2007,Black,926.412014365002,25,0,926.412014365002
