names,year,estimate
Utah,1990,1722850.0
Vermont,1990,562758.0
Virginia,1990,6187358.0
Washington,1990,4866692.0
West Virginia,1990,1793477.0
Wisconsin,1990,4891769.0
Wyoming,1990,453588.0
Alabama,2000,4447100.0
Alaska,2000,626932.0
Arizona,2000,5130632.0
Arkansas,2000,2673400.0
California,2000,33871648.0
Colorado,2000,4301261.0
Connecticut,2000,3405565.0
Delaware,2000,783600.0
District of Columbia,2000,572059.0
Florida,2000,15982378.0
Georgia,2000,8186453.0
Hawaii,2000,1211537.0
Idaho,2000,1293953.0
Illinois,2000,12419293.0
Indiana,2000,6080485.0
Iowa,2000,2926324.0
Kansas,2000,2688418.0
Kentucky,2000,4041769.0
Louisiana,2000,4468976.0
Maine,2000,1274923.0
Maryland,2000,5296486.0
Massachusetts,2000,6349097.0
Michigan,2000,9938444.0
Minnesota,2000,4919479.0
Mississippi,2000,2844658.0
Missouri,2000,5595211.0
Montana,2000,902195.0
Nebraska,2000,1711263.0
Nevada,2000,1998257.0
New Hampshire,2000,1235786.0
New Jersey,2000,8414350.0
New Mexico,2000,1819046.0
New York,2000,18976457.0
North Carolina,2000,8049313.0
North Dakota,2000,642200.0
Ohio,2000,11353140.0
Oklahoma,2000,3450654.0
Oregon,2000,3421399.0
Pennsylvania,2000,12281054.0
Rhode Island,2000,1048319.0
South Carolina,2000,4012012.0
South Dakota,2000,754844.0
Tennessee,2000,5689283.0
Texas,2000,20851820.0
Utah,2000,2233169.0
Vermont,2000,608827.0
Virginia,2000,7078515.0
Washington,2000,5894121.0
West Virginia,2000,1808344.0
Wisconsin,2000,5363675.0
Wyoming,2000,493782.0
Alabama,2010,4779736.0
Alaska,2010,710231.0
Arizona,2010,6392017.0
Arkansas,2010,2915918.0
California,2010,37253956.0
Colorado,2010,5029196.0
Connecticut,2010,3574097.0
Delaware,2010,897934.0
District of Columbia,2010,601723.0
Florida,2010,18801310.0
Georgia,2010,9687653.0
Hawaii,2010,1360301.0
Idaho,2010,1567582.0
Illinois,2010,12830632.0
Indiana,2010,6483802.0
Iowa,2010,3046355.0
Kansas,2010,2853118.0
Kentucky,2010,4339367.0
Louisiana,2010,4533372.0
Maine,2010,1328361.0
Maryland,2010,5773552.0
Massachusetts,2010,6547629.0
Michigan,2010,9883640.0
Minnesota,2010,5303925.0
Mississippi,2010,2967297.0
Missouri,2010,5988927.0
Montana,2010,989415.0
Nebraska,2010,1826341.0
Nevada,2010,2700551.0
New Hampshire,2010,1316470.0
New Jersey,2010,8791894.0
New Mexico,2010,2059179.0
New York,2010,19378102.0
North Carolina,2010,9535483.0
North Dakota,2010,672591.0
Ohio,2010,11536504.0
Oklahoma,2010,3751351.0
Oregon,2010,3831074.0
Pennsylvania,2010,12702379.0
Rhode Island,2010,1052567.0
South Carolina,2010,4625364.0
South Dakota,2010,814180.0
Tennessee,2010,6346105.0
Texas,2010,25145561.0
Utah,2010,2763885.0
Vermont,2010,625741.0
Virginia,2010,8001024.0
Washington,2010,6724540.0
West Virginia,2010,1852994.0
Wisconsin,2010,5686986.0
Wyoming,2010,563626.0
