danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.646,0.464,C,-15.188,major,0.0317,0.0696,0.869,0.113,0.0429,114.991,2zqngf12oAjbB3hClo7kha,254055,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Amble,Edamame,Nightlights,https://i.scdn.co/image/edfda7276e50b04c1da52e35ce50b1b34af8e5bc
0.57,0.734,C#,-4.697,major,0.296,8.98e-4,0,0.163,0.407,82.064,60w2HDJICF5YgHDsQ1kn2r,225267,4,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/0a671ae344242abf5ca26c0b2365c46190e4413a
0.801,0.546,B,-7.256,major,0.132,0.28,0.929,0.141,0.902,94,04KsMCb9PZE2S0AtUU8Jhb,275751,4,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,April Showers,Proleter,Curses from Past Times EP,https://i.scdn.co/image/d1d40cb859927d5e23a0e3a571efb10f06e3af36
0.632,0.654,C,-7.763,major,0.0296,0.367,0.106,0.11,0.585,119.992,48592nrA5uejb7me5qaX3s,238334,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Oblivion,David Bazan,Blanco,https://i.scdn.co/image/b86323167bfa976d55154aaa2aff24616eb0ef1c
0.483,0.685,D,-5.604,major,0.0287,0.607,8.5e-4,0.181,0.554,150.025,4EemqkYRfTNJZLg2fzVS5E,227626,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,So Low,Geographer,So Low,https://i.scdn.co/image/01c7d1ee501d0592a5a5a28f7428d60cb80fd241
0.421,0.638,A,-9.05,major,0.0587,0.0555,0.921,0.127,0.115,144.948,1xxfjPQ3QUeL15krGncaqb,242427,4,A major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Halls of the Summer - Lazerbeak Remix,Caspian,Hymn for the Greatest Generation,https://i.scdn.co/image/7ca08412bf40dee98fb68dc2b9b6499de8b5944d
0.614,0.774,B,-7.727,major,0.0356,0.00778,0.424,0.0877,0.558,102.019,4CwajKyhHp2OI1ZseDVjlo,291106,3,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Pain from Love,Rubblebucket,Oversaturated EP,https://i.scdn.co/image/cecb7523a548bd3e25d225a050a053309967d769
0.488,0.872,A,-7.642,minor,0.034,0.00148,0.338,0.0885,0.529,131.207,3T3Q1rJEms0FbFujPcjiP7,235691,4,A minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Birds & Planes,Girls Who Care,Light Sleeper,https://i.scdn.co/image/13bfa843bb247e62d54fb0b66c9abae365ad3651
0.375,0.711,A,-4.574,major,0.0373,0.0739,1.49e-4,0.157,0.424,123.412,6mQCqK9peWQLiCtie0kGiV,270016,4,A major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Remember,Typhoon,Offerings,https://i.scdn.co/image/8eba1bb4c98cbb68637f2ff1b03cfc93f91afb8b
0.539,0.685,C#,-6.999,major,0.0444,0.559,1.35e-5,0.132,0.627,129.709,7mpZ72JnzbEZFRSVK8i9zA,276000,4,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Nazis On the Northern Line,L.A. Salami,The Prelude,https://i.scdn.co/image/871e0a256dda9e5b73cb6e9ab5daee1b0d5387b8
0.435,0.74,C,-8.023,major,0.038,0.00329,0.0069,0.109,0.387,159.999,3zflGJxstJVxWZPKTk7QFw,325813,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,a Love Letter to Detroit,Listener,Being Empty : Being Filled,https://i.scdn.co/image/b1946c31efd203c73266d2e80af0e0d6e5d041d9
0.645,0.598,C,-6.767,major,0.0302,0.0302,0.0495,0.0923,0.412,101.947,2kJS6mmwkP7Il4toM7uCn2,228853,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Asleep On The Train,San Fermin,Asleep On The Train,https://i.scdn.co/image/ac46dfb6245c9bcd8dbbf4d1439a114f94206495
0.532,0.514,G,-7.423,major,0.0489,0.653,0.00398,0.0751,0.179,139.976,7nAshFQgRgLmryFo8Pj0rj,212637,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Shaken Tight,NÄM,Umlaut,https://i.scdn.co/image/8a2e541e947cb52c025dcaf7082f4b0675292c13
0.438,0.677,A#,-7.535,major,0.135,0.381,0.0686,0.119,0.214,167.989,0FfZudphGgQTGeEV6AhmOs,204209,4,A# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Beige,Yoke Lore,Goodpain,https://i.scdn.co/image/d77c5cfcbe77347726f76f1adaa9184763e2ebb7
0.563,0.66,B,-6.493,major,0.0401,0.0303,0.0149,0.117,0.285,76.004,2bHiC5Bd7ZxB97U0ac7zG3,206467,4,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Madeline,Yoni & Geti,Testarossa,https://i.scdn.co/image/baf9dedcdbc5686ee27775809075448480baaba6
0.602,0.792,D,-8.463,major,0.0331,0.146,0.887,0.118,0.345,93.743,7xNpCuqDKASx2f64nkhzNm,318027,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Imaginary Folklore,clammbon,2nd Collection,https://i.scdn.co/image/c515c50b745dc1b30de73f2e47ea34e281e9d35e
